Parameters                                                                                                             100.00%     95.00%     90.00%     85.00%     80.00%     75.00%     70.00%     65.00%     60.00%     55.00%     50.00%     45.00%     40.00%     35.00%     30.00%     25.00%     20.00%     15.00%     10.00%      5.00%      0.00%
Softer                                                                                                                                                                                                                                                                                                                                         
                                                                                                   Turning             100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
                                                                                                   Traction            100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
                                                                                                   Topspeed            100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
                                                                                                   Hardness            100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
                                                                                                   Temperature         100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
                                                                                                                                                                                                                                                                                                                                               
Soft                                                                                                                                                                                                                                                                                                                                           
                                                                                                   Turning             100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
                                                                                                   Traction            100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
                                                                                                   Topspeed            100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
                                                                                                   Hardness            100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
                                                                                                   Temperature         100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
                                                                                                                                                                                                                                                                                                                                               
Medium                                                                                                                                                                                                                                                                                                                                         
                                                                                                   Turning             100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%    100.00%
